STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
MCLEOD MEADOWS,1242,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Invermere Zone,50.7691,-115.9508,1132,NA,NA,NA,NA
MCNULTY EXT,1392,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,49.5557,-120.1732,1595,NA,NA,NA,NA
MEADOW LAKE,236,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,100 Mile House Zone,51.375,-121.7167,1070,NA,NA,NA,NA
MEAGER CREEK,1083,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Pemberton Zone,50.62,-123.4101,549,NA,NA,NA,NA
MENZIES CAMP,19,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.0486,-125.7887,435,NA,NA,NA,NA
MERRITT 2 HUB,1399,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,50.1214,-120.7442,640,NA,NA,NA,NA
MESACHIE 2,934,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,South Island Zone,48.8228,-124.1371,185,NA,NA,NA,NA
MIDDLE LAKE,226,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,51.7017,-124.875,915,NA,NA,NA,NA
MOOSE LAKE,165,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Vanderhoof),53.0715,-125.4121,1094,NA,NA,NA,NA
MOUNT CAYLEY,1221,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Pemberton Zone,50.0708,-123.2771,1592,NA,NA,NA,NA
MOUNT MOORE  SF,476,Non-Reporting,Store Forward,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.885,-118.8133,2162,NA,NA,NA,NA
MUDPIT,1176,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.3127,-119.3926,884,NA,NA,NA,NA
MUSKWA,131,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,57.8842,-123.6164,769,NA,NA,NA,NA
NABESHE,151,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Mackenzie Zone,56.3643,-123.3655,1103,NA,NA,NA,NA
NADINA,179,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Morice),53.9425,-126.9278,954,NA,NA,NA,NA
NAHATLATCH,316,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Fraser Zone,49.9018,-122.0209,551,NA,NA,NA,NA
NANCY GREENE,407,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,49.2545,-117.9942,1397,NA,NA,NA,NA
NASS CAMP,427,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Skeena Zone (Kalum),55.2886,-128.9984,176,NA,NA,NA,NA
NATAL SF,505,Non-Reporting,Store Forward,BC Wildfire Service,Southeast Fire Centre,Cranbrook Zone,49.6314,-114.8533,2262,NA,NA,NA,NA
NAZKO,211,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Quesnel Zone,52.9575,-123.5958,910,NA,NA,NA,NA
NEL-X DL,464,Non-Reporting,Download,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,58.8513,-122.8351,668,NA,NA,NA,NA
NELSON FORKS,119,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort Nelson Zone,59.6173,-124.0985,660,NA,NA,NA,NA
NEMIAH,216,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,51.48,-123.8183,1220,NA,NA,NA,NA
NICOLL,393,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Boundary Zone,49.5267,-118.3603,866,NA,NA,NA,NA
NILKITKWA,172,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone,55.538,-126.5775,969,NA,NA,NA,NA
NOEL,437,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Dawson Creek Zone,55.2956,-120.485,977,NA,NA,NA,NA
NORNS,408,Auto-Caller,Store Forward,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,49.5025,-117.787,2423,NA,NA,NA,NA
NORTH BABINE,173,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Morice),55.135,-126.2073,951,NA,NA,NA,NA
NORTH BASIN (CRD),1166,Capital Regional District,External,Capital Regional District,Coastal Fire Centre,South Island Zone,48.5722,-123.7068,180,NA,NA,NA,NA
NORTH CHILCO,159,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,VanJam Zone (Vanderhoof),54.1546,-123.7542,836,NA,NA,NA,NA
NORTH COWICHAN (EC),1013,Environment Canada,External,Environment Canada,Coastal Fire Centre,South Island Zone,48.8242,-123.7189,60,NA,NA,NA,NA
OCTOPUS CREEK,396,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,49.699,-118.081,1432,NA,NA,NA,NA
OLD FADDY,1270,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Cassiar Zone,59.8929,-129.0939,866,607,66b5475d99a271067ca51c37,f123a2e6-fdcf-460a-bfd1-409f859bb62d,8
ONE MILE,1261,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Columbia Zone,51.022,-118.2072,527,NA,NA,NA,NA
OSBORN,1045,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort St. John Zone,56.5553,-120.3952,700,NA,NA,NA,NA
PADDY,121,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort St. John Zone,57.7818,-120.2368,722,NA,NA,NA,NA
PALLISER,411,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,50.4946,-115.6664,1100,NA,NA,NA,NA
PARROTT,183,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Morice),54.0186,-126.389,1259,NA,NA,NA,NA
PASKA LAKE,326,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),50.504,-120.674,1488,NA,NA,NA,NA
PEAVINE  SF,520,Non-Reporting,Store Forward,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),51.9233,-122.205,1391,NA,NA,NA,NA
PEDEN,178,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Northwest Fire Centre,Nadina Zone (Morice),53.9868,-126.5174,747,NA,NA,NA,NA
PEMBERTON BASE,301,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,Pemberton Zone,50.3059,-122.7287,203,NA,NA,NA,NA
PENDOREILLE,402,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Arrow Zone,49.0506,-117.4139,725,NA,NA,NA,NA
PENTICTON RS,328,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Kamloops Fire Centre,Penticton Zone,49.5177,-119.5529,492,NA,NA,NA,NA
PERSEVERANCE,1347,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),49.5936,-125.1313,970,NA,NA,NA,NA
PG CENTRAL,1248,Auto-Caller,Download,BC Wildfire Service,Prince George Fire Centre,Prince George Zone,53.9025,-122.7962,1985,NA,NA,NA,NA
PINE CREEK,938,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Northwest Fire Centre,Bulkley Zone,54.683,-127.3234,1300,NA,NA,NA,NA
PINK MOUNTAIN,129,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Prince George Fire Centre,Fort St. John Zone,57.0874,-122.5912,989,NA,NA,NA,NA
PLACE LAKE,212,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Williams Lake),51.8167,-122,1065,NA,NA,NA,NA
PLUMMER HUT,1387,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,51.3735,-125.1645,2712,NA,NA,NA,NA
PORT HARDY AP (EC),2,Environment Canada,External,Environment Canada,Coastal Fire Centre,North Island Mid Coast Zone (Port McNeill),50.7,-127.4,22,NA,NA,NA,NA
